season,player_id,player_name,team,roster_status,profile_url,source_note
2026,0000007610,吳承皓,味全龍,現役,https://cpbl.com.tw/team/person?acnt=0000007610,CPBL 官方球員點將錄
2026,0000007311,吳承翰,味全龍,合約所屬球員（二軍）,https://cpbl.com.tw/team/person?acnt=0000007311,CPBL 官方球員點將錄
2026,0000001409,吳東融,味全龍,現役,https://cpbl.com.tw/team/person?acnt=0000001409,CPBL 官方球員點將錄
2026,0000007582,吳東霖,味全龍,自主培訓或尚未註冊（二軍）,https://cpbl.com.tw/team/person?acnt=0000007582,CPBL 官方球員點將錄
2026,0000005552,呂偉晟,味全龍,現役,https://cpbl.com.tw/team/person?acnt=0000005552,CPBL 官方球員點將錄
2026,0000006731,周委宏,味全龍,現役,https://cpbl.com.tw/team/person?acnt=0000006731,CPBL 官方球員點將錄
2026,0000005563,姚冠瑋,味全龍,現役,https://cpbl.com.tw/team/person?acnt=0000005563,CPBL 官方球員點將錄
2026,0000007609,崔聖允,味全龍,合約所屬球員（二軍）,https://cpbl.com.tw/team/person?acnt=0000007609,CPBL 官方球員點將錄
2026,0000005542,張政禹,味全龍,現役,https://cpbl.com.tw/team/person?acnt=0000005542,CPBL 官方球員點將錄
2026,0000007055,張景淯,味全龍,現役,https://cpbl.com.tw/team/person?acnt=0000007055,CPBL 官方球員點將錄
2026,0000006725,張祐嘉,味全龍,現役,https://cpbl.com.tw/team/person?acnt=0000006725,CPBL 官方球員點將錄
2026,0000005553,張祐銘,味全龍,現役,https://cpbl.com.tw/team/person?acnt=0000005553,CPBL 官方球員點將錄
2026,0000006723,張鈞守,味全龍,現役,https://cpbl.com.tw/team/person?acnt=0000006723,CPBL 官方球員點將錄
2026,0000005546,拿莫．伊漾,味全龍,現役,https://cpbl.com.tw/team/person?acnt=0000005546,CPBL 官方球員點將錄
2026,0000006724,曹祐齊,味全龍,現役,https://cpbl.com.tw/team/person?acnt=0000006724,CPBL 官方球員點將錄
2026,0000003608,曾仁和,味全龍,現役,https://cpbl.com.tw/team/person?acnt=0000003608,CPBL 官方球員點將錄
2026,0000007304,曾聖安,味全龍,現役,https://cpbl.com.tw/team/person?acnt=0000007304,CPBL 官方球員點將錄
2026,0000001318,朱育賢,味全龍,現役,https://cpbl.com.tw/team/person?acnt=0000001318,CPBL 官方球員點將錄
2026,0000005540,李凱威,味全龍,現役,https://cpbl.com.tw/team/person?acnt=0000005540,CPBL 官方球員點將錄
2026,0000006726,李展毅,味全龍,現役,https://cpbl.com.tw/team/person?acnt=0000006726,CPBL 官方球員點將錄
2026,0000007305,李致霖,味全龍,現役,https://cpbl.com.tw/team/person?acnt=0000007305,CPBL 官方球員點將錄
2026,0000006160,李超,味全龍,現役,https://cpbl.com.tw/team/person?acnt=0000006160,CPBL 官方球員點將錄
2026,0000005788,林凱威,味全龍,現役,https://cpbl.com.tw/team/person?acnt=0000005788,CPBL 官方球員點將錄
2026,0000001821,林子昱,味全龍,現役,https://cpbl.com.tw/team/person?acnt=0000001821,CPBL 官方球員點將錄
2026,0000005548,林孝程,味全龍,現役,https://cpbl.com.tw/team/person?acnt=0000005548,CPBL 官方球員點將錄
2026,0000007083,林柏佑,味全龍,現役,https://cpbl.com.tw/team/person?acnt=0000007083,CPBL 官方球員點將錄
2026,0000007611,林紘維,味全龍,合約所屬球員（二軍）,https://cpbl.com.tw/team/person?acnt=0000007611,CPBL 官方球員點將錄
2026,0000007613,林軒宇,味全龍,合約所屬球員（二軍）,https://cpbl.com.tw/team/person?acnt=0000007613,CPBL 官方球員點將錄
2026,0000006217,林辰勳,味全龍,現役,https://cpbl.com.tw/team/person?acnt=0000006217,CPBL 官方球員點將錄
2026,0000006159,林逸達,味全龍,現役,https://cpbl.com.tw/team/person?acnt=0000006159,CPBL 官方球員點將錄
2026,0000005789,林鋅杰,味全龍,現役,https://cpbl.com.tw/team/person?acnt=0000005789,CPBL 官方球員點將錄
2026,0000006555,梅賽鍶,味全龍,現役,https://cpbl.com.tw/team/person?acnt=0000006555,CPBL 官方球員點將錄
2026,0000006236,楊鈺翔,味全龍,現役,https://cpbl.com.tw/team/person?acnt=0000006236,CPBL 官方球員點將錄
2026,0000007587,潘信安,味全龍,自主培訓或尚未註冊（二軍）,https://cpbl.com.tw/team/person?acnt=0000007587,CPBL 官方球員點將錄
2026,0000006910,王伯洋,味全龍,現役,https://cpbl.com.tw/team/person?acnt=0000006910,CPBL 官方球員點將錄
2026,0000002278,王定穎,味全龍,現役,https://cpbl.com.tw/team/person?acnt=0000002278,CPBL 官方球員點將錄
2026,0000006216,王順和,味全龍,現役,https://cpbl.com.tw/team/person?acnt=0000006216,CPBL 官方球員點將錄
2026,0000000356,石翔宇,味全龍,現役,https://cpbl.com.tw/team/person?acnt=0000000356,CPBL 官方球員點將錄
