snapshot_id,captured_at,season,player_id,player_name,team,player_type,role_or_position,pa,ab,hits,home_runs,walks,strikeouts,batting_average,obp,slg,ops,iso,bb_rate,k_rate,hr_rate,bb_k_ratio,contact_score,power_score,discipline_score,hitter_value_score,innings_pitched,earned_runs,hits_allowed,home_runs_allowed,era,whip,k_bb_ratio,hr_allowed_rate,run_prevention_score,strikeout_score,command_score,pitcher_value_score,player_value_score
20260806T062528Z-205080b25390,2026-08-06T06:25:28+00:00,2026,0000006929,紀慶然,台鋼雄鷹,打者,野手,190.0,174.0,44.0,0.0,14,32,0.253,0.307,0.282,0.589,0.029,0.0737,0.1684,0.0,0.44,25.3,5.0,46.8,26.3,,,,,,,,,,,,,26.3
20260806T062528Z-205080b25390,2026-08-06T06:25:28+00:00,2026,0000005298,黃韋盛,中信兄弟,打者,野手,223.0,200.0,49.0,2.0,19,35,0.245,0.309,0.335,0.644,0.09,0.0852,0.157,0.009,0.57,24.5,18.8,50.5,30.7,,,,,,,,,,,,,30.7
20260806T062528Z-205080b25390,2026-08-06T06:25:28+00:00,2026,0000002291,岳東華,中信兄弟,打者,野手,219.0,197.0,57.0,2.0,16,38,0.289,0.346,0.411,0.757,0.122,0.0731,0.1735,0.0091,0.47,28.9,24.3,46.8,34.7,,,,,,,,,,,,,34.7
20260806T062528Z-205080b25390,2026-08-06T06:25:28+00:00,2026,0000006225,宋晟睿,中信兄弟,打者,野手,202.0,176.0,46.0,5.0,15,35,0.261,0.33,0.432,0.762,0.171,0.0743,0.1733,0.0248,0.57,26.1,38.5,48.0,37.3,,,,,,,,,,,,,37.3
20260806T062528Z-205080b25390,2026-08-06T06:25:28+00:00,2026,0000007076,李勛傑,樂天桃猿,打者,野手,212.0,185.0,45.0,6.0,24,64,0.243,0.33,0.395,0.725,0.152,0.1132,0.3019,0.0283,0.39,24.3,36.6,48.7,35.8,,,,,,,,,,,,,35.8
20260806T062528Z-205080b25390,2026-08-06T06:25:28+00:00,2026,0000005522,朱迦恩,統一7-ELEVEn獅,打者,野手,205.0,185.0,55.0,4.0,12,45,0.297,0.35,0.438,0.788,0.141,0.0585,0.2195,0.0195,0.36,29.7,31.4,41.4,36.2,,,,,,,,,,,,,36.2
20260806T062528Z-205080b25390,2026-08-06T06:25:28+00:00,2026,0000004636,江坤宇,中信兄弟,打者,野手,238.0,201.0,56.0,2.0,19,24,0.279,0.365,0.353,0.718,0.074,0.0798,0.1008,0.0084,1.17,27.9,15.8,57.5,33.5,,,,,,,,,,,,,33.5
20260806T062528Z-205080b25390,2026-08-06T06:25:28+00:00,2026,0000000772,陳文杰,台鋼雄鷹,打者,野手,274.0,247.0,73.0,1.0,20,32,0.296,0.357,0.397,0.754,0.101,0.073,0.1168,0.0036,0.75,29.6,18.6,51.6,34.3,,,,,,,,,,,,,34.3
20260806T062528Z-205080b25390,2026-08-06T06:25:28+00:00,2026,0000002298,陳重羽,統一7-ELEVEn獅,打者,野手,189.0,158.0,45.0,0.0,20,28,0.285,0.374,0.329,0.703,0.044,0.1058,0.1481,0.0,0.82,28.5,7.5,57.1,31.6,,,,,,,,,,,,,31.6
20260806T062528Z-205080b25390,2026-08-06T06:25:28+00:00,2026,0000006736,王苡丞,富邦悍將,打者,野手,222.0,205.0,55.0,4.0,11,40,0.268,0.312,0.371,0.683,0.103,0.0495,0.1802,0.018,0.35,26.8,24.3,41.1,31.8,,,,,,,,,,,,,31.8
20260806T062528Z-205080b25390,2026-08-06T06:25:28+00:00,2026,0000003467,林泓育,樂天桃猿,打者,野手,232.0,216.0,58.0,1.0,13,34,0.269,0.31,0.366,0.676,0.097,0.056,0.1466,0.0043,0.41,26.9,18.2,44.0,30.8,,,,,,,,,,,,,30.8
20260806T062528Z-205080b25390,2026-08-06T06:25:28+00:00,2026,0000005291,蔣少宏,味全龍,打者,野手,174.0,164.0,37.0,2.0,5,32,0.226,0.26,0.311,0.571,0.085,0.0287,0.1839,0.0115,0.25,22.6,18.8,36.2,26.6,,,,,,,,,,,,,26.6
20260806T062528Z-205080b25390,2026-08-06T06:25:28+00:00,2026,0000007301,曾昱磬,台鋼雄鷹,打者,野手,173.0,130.0,24.0,1.0,34,28,0.185,0.371,0.215,0.586,0.03,0.1965,0.1618,0.0058,1.39,18.5,7.3,78.6,30.1,,,,,,,,,,,,,30.1
