season,player_name,team,role,innings_pitched,earned_runs,hits_allowed,walks,strikeouts,home_runs_allowed,era,whip,k_bb_ratio,k_rate,bb_rate,hr_allowed_rate,source_note,player_id,run_prevention_score,strikeout_score,command_score,pitcher_value_score,player_value_score,player_type
2026,盧冠宇,樂天桃猿,投手,5.333,3,7,3,1,0,5.06,1.88,0.33,0.04,0.12,0.0,CPBL 官方全記錄查詢,0000007047,88.0,8.0,39.8,53.5,53.5,投手
2026,賴威誠,樂天桃猿,投手,7.0,2,7,4,5,0,2.57,1.57,1.25,0.1667,0.1333,0.0,CPBL 官方全記錄查詢,0000007316,90.8,33.3,43.6,62.3,62.3,投手
2026,李柏毓,樂天桃猿,投手,4.667,1,5,3,2,0,1.93,1.71,0.67,0.0952,0.1429,0.0,CPBL 官方全記錄查詢,0000007615,90.5,19.0,39.4,57.3,57.3,投手
2026,劉家翔,樂天桃猿,投手,20.333,7,20,6,9,3,3.1,1.28,1.5,0.1084,0.0723,0.0361,CPBL 官方全記錄查詢,0000006860,92.0,21.7,51.1,62.2,62.2,投手
2026,鄭鈞仁,統一7-ELEVEn獅,投手,5.0,1,2,2,4,0,1.8,0.8,2.0,0.2,0.1,0.0,CPBL 官方全記錄查詢,0000002276,95.1,40.0,51.1,68.1,68.1,投手
2026,盧孟揚,中信兄弟,投手,5.333,5,5,5,3,0,8.44,1.88,0.6,0.1154,0.1923,0.0,CPBL 官方全記錄查詢,0000006874,86.3,23.1,34.1,54.8,54.8,投手
2026,林易霆,統一7-ELEVEn獅,投手,9.333,3,6,5,7,0,2.89,1.18,1.4,0.1795,0.1282,0.0,CPBL 官方全記錄查詢,0000007294,92.6,35.9,45.0,64.1,64.1,投手
2026,江少慶,統一7-ELEVEn獅,投手,11.333,8,16,6,8,0,6.35,1.94,1.33,0.1481,0.1111,0.0,CPBL 官方全記錄查詢,0000001412,87.1,29.6,46.3,60.5,60.5,投手
2026,張宥謙,統一7-ELEVEn獅,投手,17.667,11,19,11,7,1,5.6,1.7,0.64,0.0864,0.1358,0.0123,CPBL 官方全記錄查詢,0000007290,88.6,17.3,40.0,56.2,56.2,投手
2026,悍里歐,富邦悍將,投手,26.0,12,27,14,21,0,4.15,1.58,1.5,0.1842,0.1228,0.0,CPBL 官方全記錄查詢,0000007832,90.0,36.8,46.1,63.5,63.5,投手
