season,player_name,team,position,pa,ab,hits,doubles,triples,home_runs,walks,strikeouts,stolen_bases,batting_average,obp,slg,ops,iso,bb_rate,k_rate,hr_rate,bb_k_ratio,source_note,player_id,contact_score,power_score,discipline_score,hitter_value_score,player_value_score,player_type
2026,林子偉,樂天桃猿,野手,341,315,80,12,2,3,14,41,20,0.254,0.293,0.333,0.626,0.079,0.0411,0.1202,0.0088,0.44,CPBL 官方全記錄查詢,0000001618,25.4,26.8,42.6,30.9,30.9,打者
2026,林澤彬,富邦悍將,野手,329,284,91,11,3,0,27,26,6,0.32,0.377,0.38,0.757,0.06,0.0821,0.079,0.0,1.12,CPBL 官方全記錄查詢,0000005510,32.0,16.5,58.2,35.5,35.5,打者
2026,黃韋盛,中信兄弟,野手,269,244,64,12,1,2,20,40,4,0.262,0.317,0.344,0.661,0.082,0.0743,0.1487,0.0074,0.53,CPBL 官方全記錄查詢,0000005298,26.200000000000003,26.9,48.5,32.8,32.8,打者
2026,紀慶然,台鋼雄鷹,野手,249,226,54,7,1,0,18,41,5,0.239,0.294,0.279,0.573,0.04,0.0723,0.1647,0.0,0.44,CPBL 官方全記錄查詢,0000006929,23.9,11.0,46.6,26.9,26.9,打者
2026,李勛傑,樂天桃猿,野手,280,245,57,14,0,6,31,82,0,0.233,0.321,0.363,0.684,0.13,0.1107,0.2929,0.0214,0.4,CPBL 官方全記錄查詢,0000007076,23.3,48.2,48.7,37.0,37.0,打者
2026,林泓育,樂天桃猿,野手,311,287,77,19,1,2,18,45,0,0.268,0.315,0.362,0.677,0.094,0.0579,0.1447,0.0064,0.47,CPBL 官方全記錄查詢,0000003467,26.8,29.6,45.1,33.3,33.3,打者
2026,朱迦恩,統一7-ELEVEn獅,野手,255,232,66,9,3,5,14,59,7,0.284,0.336,0.414,0.75,0.13,0.0549,0.2314,0.0196,0.32,CPBL 官方全記錄查詢,0000005522,28.4,47.1,40.0,38.0,38.0,打者
2026,劉俊緯,味全龍,野手,235,212,59,5,2,3,14,31,6,0.278,0.335,0.363,0.698,0.085,0.0553,0.1319,0.0128,0.61,CPBL 官方全記錄查詢,0000007079,27.800000000000004,30.8,46.4,34.4,34.4,打者
2026,林泓弦,統一7-ELEVEn獅,野手,181,164,37,3,3,0,10,23,1,0.226,0.278,0.28,0.558,0.054,0.0552,0.1271,0.0,0.52,CPBL 官方全記錄查詢,0000007071,22.6,14.9,45.7,26.9,26.9,打者
2026,蔣少宏,味全龍,野手,215,203,43,8,0,2,6,37,0,0.212,0.244,0.281,0.525,0.069,0.0279,0.1721,0.0093,0.24,CPBL 官方全記錄查詢,0000005291,21.2,24.4,36.4,26.4,26.4,打者
2026,蘇智傑,統一7-ELEVEn獅,野手,289,267,68,13,2,8,16,32,5,0.255,0.301,0.408,0.709,0.153,0.0554,0.1107,0.0277,0.59,CPBL 官方全記錄查詢,0000001474,25.5,58.1,47.0,39.7,39.7,打者
2026,張士綸,中信兄弟,野手,316,286,93,9,1,2,19,32,16,0.325,0.371,0.385,0.756,0.06,0.0601,0.1013,0.0063,0.72,CPBL 官方全記錄查詢,0000007085,32.5,20.2,49.5,35.0,35.0,打者
2026,孔念恩,富邦悍將,野手,277,260,75,13,3,1,7,66,9,0.288,0.304,0.373,0.677,0.085,0.0253,0.2383,0.0036,0.14,CPBL 官方全記錄查詢,0000006738,28.799999999999997,25.5,32.6,31.0,31.0,打者
2026,林智平,樂天桃猿,野手,249,230,62,8,0,1,13,28,0,0.27,0.319,0.317,0.636,0.047,0.0482,0.1124,0.004,0.61,CPBL 官方全記錄查詢,0000003345,27.0,15.3,45.8,29.6,29.6,打者
2026,林辰勳,味全龍,野手,174,147,36,3,1,0,14,31,0,0.245,0.307,0.279,0.586,0.034,0.0805,0.1782,0.0,0.48,CPBL 官方全記錄查詢,0000006217,24.5,9.4,48.1,27.2,27.2,打者
2026,劉時豪,台鋼雄鷹,野手,205,172,40,4,0,2,23,28,1,0.233,0.347,0.291,0.638,0.058,0.1122,0.1366,0.0098,1.07,CPBL 官方全記錄查詢,0000001258,23.3,21.6,61.1,32.5,32.5,打者
2026,吉力吉撈．鞏冠,味全龍,野手,244,211,44,6,0,3,26,52,1,0.209,0.303,0.28,0.583,0.071,0.1025,0.2131,0.0123,0.58,CPBL 官方全記錄查詢,0000003625,20.9,26.7,51.8,30.4,30.4,打者
2026,詹子賢,中信兄弟,野手,236,213,54,11,0,2,20,35,0,0.254,0.322,0.333,0.655,0.079,0.0847,0.1483,0.0085,0.63,CPBL 官方全記錄查詢,0000002297,25.4,26.7,51.4,32.9,32.9,打者
2026,曾昱磬,台鋼雄鷹,野手,180,134,24,1,0,1,37,29,9,0.179,0.373,0.209,0.582,0.03,0.2056,0.1611,0.0056,1.45,CPBL 官方全記錄查詢,0000007301,17.9,11.5,80.9,31.1,31.1,打者
2026,申皓瑋,富邦悍將,野手,220,200,51,10,0,2,14,48,3,0.255,0.314,0.335,0.649,0.08,0.0636,0.2182,0.0091,0.38,CPBL 官方全記錄查詢,0000000362,25.5,27.3,42.6,31.6,31.6,打者
2026,陳俊秀,中信兄弟,野手,237,200,50,7,0,4,33,50,0,0.25,0.354,0.345,0.699,0.095,0.1392,0.211,0.0169,0.68,CPBL 官方全記錄查詢,0000003609,25.0,35.9,59.5,36.8,36.8,打者
2026,李丞齡,統一7-ELEVEn獅,野手,159,153,37,3,1,5,5,29,1,0.242,0.264,0.373,0.637,0.131,0.0314,0.1824,0.0314,0.17,CPBL 官方全記錄查詢,0000004641,24.2,54.2,36.0,35.4,35.4,打者
